,store,store_name,branch,user,content,score,big_cate
6619,29209,고영닭,정관점,156952,"['이름', '다소니', '되어다', '네이버', '치다', '나오니', '무슨', '이름', '짠지', '애매하다', '장작구이', '늦다', '닭고기', '가슴', '살이', '퍽퍽', '싫다', '찹쌀', '누룽지', '최고', '옛날', '간판', '이름', '다소니', '지금', '간판', '이름']",3,치킨
6620,29210,고영닭 참나무장작구이,기장본점,3906,"['기장', '본점', '누룽지', '통닭', '참나무', '장작구이', '유명하다', '누룽지', '맛있다', '양념', '베다', '참나무', '연하다', '기름', '빠지다', '찾다', '닭집']",5,치킨
6668,29253,고요남,강릉점,390564,"['고깃집', '점심', '해결', '위해', '방문', '육회', '비빔밥', '떡갈비', '\n\n', '쥬얼', '스타일', '\n\n', '나쁘다', '음식', '높다', '편이']",3,"돈가스,회,일식"
6672,29267,고요남,종로점,844228,"['55', 'cm', '어느', '만만찮', '기네', '맛있다', '마지막', '사진', 'SNS', '공유', '서비스', '공유', '받다', '음료', '콜라', '사이다', '택하', '사이즈', '아쉽다']",4,"돈가스,회,일식"
6674,29270,고요남,창원상남점,190080,"['육회', '초밥', '맛있다', '근데', '혼자']",4,"돈가스,회,일식"
6731,29499,고잉메리,안녕인사동점,276312,"['요괴', '라면', '요괴', '오피', '밀크', '트렌디', '분식점', '색다르다', '분식', '원하다', '강추']",4,분식
6752,29525,고전떡볶이,본점,136152,"['인터넷', '후기', '보고', '별로', '실망', '스럽다', '맛집', '모르다']",3,분식
6832,29690,고집파닭,남포점,8954,"['후라이드', '파닭', '후라이드', '빠삭하', '맛있다', '파닭', '팔다', '일반', '파가', '겨자', '소스', '삼겹살', '파재', '소스', '조합', '어울리다', '어울리다', '맛있다']",5,치킨
6885,29858,고칸,인천 구월점,197904,"['덥다', '아무', '무난', '무난', '평타', '치다']",3,"피자,파스타,스테이크"
6886,29858,고칸,인천 구월점,397394,"['대부분', '셀프', '식당', '기계', '통해', '주문', '결제', '완료', '국도', '셀프', '가져오다', '맛있다', '대신', '보통', '일식', '생각나다', '쯔유소스', '때문', '간이', '심심하다', '느끼다']",4,"피자,파스타,스테이크"
6896,29870,고쿠텐,보정카페거리점,321572,"['튀김', '바삭', '아주', '맛있다', '기르다', '음식', '작다', '메뉴']",4,"돈가스,회,일식"
6924,29921,고피자,안산점,600287,"['매장', '자체', '되게', '귀엽다', '예쁘다', '피자', '주문', '3분', '만에', '바로', '굽다', '바로', '굉장하다', '만족도', '높다']",4,"피자,파스타,스테이크"
6925,29923,고피자,원주무실점,107253,"['지점', '방문', '의향', '무실점', '분명', '상한', '냄새', '올라오다', '제대로', '확인', '향신료', '냄새']",1,"피자,파스타,스테이크"
7153,31313,곤지암 할매 소머리국밥,계룡점,64397,"['곱창전골', '맛있다', '국물', '사골', '국물', '담백하다', '양도', '많다', '이서', '터지다', '따로', '누룽지', '누룽지', '뜨다', '팔다', '찹쌀', '도너츠', '맛있다']",5,한식
7176,31402,곤트란쉐리에,합정점,259207,"['콘트란쉐리', '원래', '크다', '상이', '맛있다', '샌드위치', '보통', '커피', '맛있다']",4,카페
7306,31887,골목집,루원시티점,89918,"['가게', '인테리어', '옛날', '느끼다', '신기하다', '고기', '찌개', '양념장', '계란', '풀다', '처음', '신기하다', '사장', '친절하다']",5,고기
7353,32140,곰대감,동대문디자인플라자점,85688,"['여러분', '평범하다', '\n\n', 'DDP', '무난', '그리다', '추천', '드리다', '읍니', '급식', '학식', '상위호환', '버전', '읍니']",3,한식
7390,32321,곰스603,선릉점,179488,"['회사', '근처', '가끔', '가지', '음식', '시간', '점심시간', '몰리다', '모르다', '그래도']",3,버거
7399,32353,곰작골 나주곰탕,삼성점,213301,"['아주', '깔끔하다', '나주', '곰탕', '그대로', '국물', '진국', '고기', '고소하다']",4,한식
7429,32438,곱,마포점,593182,"['공유', '싫다', '이미', '줄이다', '기다', '유명하다', '한번', '이상']",5,고기
7430,32438,곱,마포점,135283,"['공덕', '맛집', '최고', '시끄럽다', '분위기', '정신', '어쩔', '바쁘다', '직원', '술술', '넘어가다', '깡패']",4,고기
7431,32438,곱,마포점,213971,"['음식사진', '찍다', '후회', '가게', '음식', '겨를', '없이', '허겁지겁', '잇다', '곱창', '굽다', '바로', '잇다', '대신', '시간', '재촉', '국수', '라면', '먼저', '잇다', '금방', '도축', '사용', '잡다', '평소', '거의', '곱창', '부위', '선호', '여기다', '막창', '대창', '잇다']",5,고기
7432,32438,곱,마포점,279652,"['곱창', '다양하다', '요즘', '볶음밥', '김치', '단순하다']",4,고기
7433,32438,곱,마포점,606979,"['곱창', '많다', '맛있다', '곱창', '김치', '국수', '일품', '볶음밥', '국수', '추천', '드리다', '다만', '손님', '많다', '관계', '서기', '기본', '음식', '늦다']",4,고기
7434,32438,곱,마포점,606826,"['곱창', '냄새', '안나', '괜춘함', '볶음밥', '추천']",4,고기
7436,32438,곱,마포점,251581,"['가보다', '곱창', '집중', '맛있다', '한번']",5,고기
7445,32528,곱분이 곱창,노원역점,390671,"['중독', '노원', '곱창', '주로', '\n\n', '음식', '런가', '해보다', '마요네즈', '와사비', '찍다', '중독', '계속', '계란찜', '서비스', '차다', '치마', '주먹밥', '비비다', '퍼먹으', '맛있다', '\n\n', '서비스', '테이블', '멀다', '알바', '친절하다', '계속', '서빙', '\n\n', '분위기', '시끌벅적하다', '동네', '술집', '크다']",4,고기
7446,32528,곱분이 곱창,노원역점,96360,"['싸다', '먹기', '먹기', '곱창', '소스', '쌈장', '콩가루', '마요네즈', '와사비', '\n\n', '기호', '맞추다', '놓다', '차다', '\n\n', '상추', '쌈일땐', '쌈장', '마요네즈', '찍다', '\n\n', '곱창', '요구르트', '소주', '최고', '안나', '맛있다', '평소', '과일', '소주', '좋아하다', '요구르트', '소주', '맞다']",4,고기
7447,32528,곱분이 곱창,노원역점,296014,"['노원', '야채', '곱창', '맛있다', '가요']",4,고기
7448,32529,곱분이곱창,신도림점,260469,"['야채', '곱창', '검색', '찾다', '외로', '맛있다', '가성', '곱창', '야채', '곱창', '당면', '감칠맛', '맛있다', '양도', '남녀', '배부르다']",4,고기
7449,32530,곱분이곱창,호평점,52280,"['곱창', '숨다', '맛집', '구리', '돌다리', '모든', '곱창', '맛있다', '저렴하다', '많다']",5,고기
7450,32530,곱분이곱창,호평점,169434,"['요긴', '무조건', '직화', '불막창', '곱창', '야하다', '양념', '맛있다', '자꾸', '생각나다', '달마', '챙기다', '맛집', '여기다', '포장', '깨끗하다', '추천']",5,고기
7462,32551,곱선생,수지상현역점,133470,"['평범하다', '맛있다', '곱창', 'sns', '이벤트', '음료', '요즘', '곱창']",4,고기
7481,32624,곱창가,부천역점,570760,"['기본', '뜨다', '국물', '먹기', '고기', '냄새', '맛있다', '대신', '먹기', '많다', '양도', '많다', '여자', '이서', '인분', '볶음밥', '그래도', '깔끔하다', '무난', '먹기']",5,고기
7482,32633,곱창고,통영무전점,113705,"['곱창', '달리', '양념', '되어다', '워낙', '유명하다', '체인점', '맛있다']",5,고기
7483,32634,곱창고,동탄역점,323611,"['음식', '대비', '맛남', '곱창', '찍다', '간장', '소스', '특히', '곱창', '허전하다', '달래다', '볶음밥', '창고', '맛남', '서비스', '친절하다', '초기', '어설프다', '느낌', '분위기', '여느', '곱창', '다소', '좁다', '테이블', '간격', '약간', '끌함', '위생', '상태', '양호']",4,고기
7499,32715,곱창고,경안점,91701,"['후기', '곱창', '맛있다', '볶음밥', '맛있다', '제공', '부추', '순두부찌개', '맛있다', '가성', '곱창', '\n\n', '방문', '목적', '아침', '상사', '깨다', '기분', '저기압', '상태', '남친', '기분', '저기압', '가야', '면서', '가게', '덕분', '맛있다', '기분', '좋아지다']",5,고기
7536,32763,곱창고,신방점,384254,"['볶음밥', '짜다', '고기', '별로']",1,고기
7544,32787,곱창고,돌다리점,641859,"['잇다', '근데', '원래', '곱창', '구이', '비싸다', '그거', '적다', '그거', '빼다', '맛있다', '엉엉']",3,고기
7545,32787,곱창고,돌다리점,127124,"['구리', '곱창', '곱창', '고프다', '저렴하다', '방문', '많다', '그치다', '사이드', '순두부찌개', '나서다', '먹기']",5,고기
7577,32932,곱창선생,광주용봉점,64350,"['오랜', '깔끔하다', '막창집', '맛있다', '그래도', '용봉', '간다', '갈다', '의향', '친절하다', '주얼', '여기다', '양념', '막창', '맛있다', '염통', '꼬치', '막창', '익다', '묵다', '돼다', '드리다']",4,고기
7578,32933,곱창선생,논현점,138541,"['도리', '기대하다', '막창', '삼겹살', '맛있다', '놀랫어', '대구', '막창', '누리다', '안나', '막창', '강추', '토리', '떡볶이']",4,고기
7598,33031,곱창이야기,대구장기동점,43292,"['장기동', '꾸준하다', '맛집', '아버지', '오랜', '즐겁다', '시간', '보내다', '소스', '맛있다', '염통', '맛있다', '친절하다', '사장', '덕분', '남다']",3,고기
7599,33031,곱창이야기,대구장기동점,109916,"['곱창', '별로', '좋아하다', '동생', '좋아하다']",4,고기
7612,33048,곱창이야기,의정부역점,388399,"['일단', '직원', '친절하다', '가게', '주변', '곱창', '저렴', '한편', '맛있다']",4,고기
7613,33048,곱창이야기,의정부역점,42314,"['음식', '평범하다', '곱창', '줄다', '서비스', '알바', '분들', '친절하다']",3,고기
7622,33062,곱창이야기,오목교점,90296,"['유명하다', '체인', '곱창', '사랑', '❤️']",4,고기
7623,33062,곱창이야기,오목교점,18783,"['맛있다', '마약', '가루', '뿌리다', '중독']",5,고기
7624,33062,곱창이야기,오목교점,632095,"['위치', '숨다', '맛집', '느낌', '물씬', '전체', '볶음밥', '약간', '싱겁다']",4,고기
7625,33062,곱창이야기,오목교점,156230,"['목동', '목교', '곱창', '예상', '외로', '얹다', '쫄깃', '뿌리다', '가루', '덕분', '감칠맛', '더하다', '볶음밥', '날치', '오독오독', '씹히다']",4,고기
7629,33064,곱창이야기,신촌점,925624,"['인생', '\n\n', '곱창', '타이어', '맛보싷수', '숙성', '안되다', '건지다', '안좋다', '쓸다', '건지다', '입지', '장사', '가게', '진수']",1,고기
7630,33064,곱창이야기,신촌점,44097,"['신촌', '곱창', '거의', '가보다', '식당', '최고', '맛있다', '한우', '곱창', '뿌리다', '가루', '감칠맛', '야채', '서비스', '꿀맛', '무료', '떡리필', '가능하다', '만족스럽다', '볶음밥', '맛있다', '추강']",5,고기
7635,33074,곱창이야기,발산본점,391631,"['친구', '강력', '추천', '나쁘다', '근처', '가보다', '최근', '위치', '출구', '출구', '바뀌다', '참고']",4,고기
7636,33074,곱창이야기,발산본점,129012,"['곱창', '별로', '좋아하다', '맛있다', '맛있다', '주변', '곱창', '좋아하다', '친구', '소개']",4,고기
7637,33074,곱창이야기,발산본점,315169,"['특이하다', '치즈', '가루', '뿌리다', '가래떡', '올려주다', '피자', '도우', '기르다', '짜다', '짜다', '짜다', '초벌', '구이', '느리다']",2,고기
7638,33074,곱창이야기,발산본점,110348,"['곱창', '좋아하다', '곱창', '이야기', '좋아하다', '못봣음', '곱창', '맛집']",5,고기
7654,33140,곱창폭식,성남점,845822,['맛있다'],5,고기
7757,33551,공릉동 원조 멸치국수,중계동점,391153,"['중계동', '상가', '많다', '위치', '저렴하다', '많다', '맛있다', '강추']",5,한식
7759,33563,공릉동닭한마리,마곡나루역점,361582,"['낯선', '프렌차이즈', '가면', '적어도', '실패', '게다가', '요리', '왠만하다', '공릉동', '마리', '수준', '특별하다', '직장', '적당하다', '점심', '수준', '충분하다', '끓이다', '육수', '감칠맛', '돌다', '빠르다', '손님', '회전', '야하다', '프렌', '이즈', '특성', '조미료', '써다', '더부룩하다', '오래', '주차', '지하', '주차장', '이용', '가능하다', '시간', '무료']",2,한식
7862,34050,공주칼국수 쭈꾸미구이,오송점,25360,"['동네', '이름', '칼국수', '얼큰하다', '칼국수', '맛있다', '여기다', '맛있다']",3,한식
7944,34332,공차,하남점,158018,"['공차', '밀크', '좋아하다', '공차', '하남', '스타', '필드', '모두', '친절하다']",5,카페
7945,34332,공차,하남점,874331,"['워낙', '밀크', '좋아하다', '공차', '가요', '오늘', '이벤트', '저렴하다', '마시다']",5,카페
8025,34424,공화춘,현대백화점 판교점,298317,"['인천', '유명하다', '공화춘', '판교', '오픈', '일단', '그니', '치다', '멘보샤', '새우', '육즙', '그득하다', '식빵', '미니', '바게트', '식빵', '떨어지다', '적다', '탕수육', '일단', '바삭', '여느', '중국집', '마찬가지', '닥그닥', '짜장면', '도전', '테이블', '짜장면', '달다', '비쥬']",3,중식
8034,34479,과일아삭,아라점,319205,"['과일', '가게', '과일', '주스', '빙수', '판매', '빙수', '과일', '시럽', '토핑', '아이스크림', '마음대로', '선택', '빙수', '맛있다', '아이스크림', '젤라또', '아이스크림', '토핑', '코코넛', '추천']",5,카페
8105,34846,광동수산,광진직영점,504746,"['지인', '추천', '방문', '우선', '세트', '메뉴', '구성', '아주', '알차다', '\n\n', '소라', '멍게', '낙지', '탕탕', '연어', '샐러드', '물회', '고등어', '구이', '매운탕', '\n\n', '조합', '구성', '다양하다', '품질', '걱정', '모든', '음식', '아주', '훌륭하다', '회도', '쫄깃쫄깃', '식감', '살다', '알차다', '구성', '리필', '비우기', '바쁘다', '\n\n', '가성', '아주', '훌륭하다', '밑반찬', '중요시', '세트', '\n\n', '여쭈다', '밑반찬', '해산물', '따르다', '바뀌다', '알차다', '틀림', '\n\n', '군데', '여러가지', '해산물', '굉장하다', '만족하다']",5,"돈가스,회,일식"
8174,35109,광명홍두깨칼국수,영등포시장점,328775,"['3천원', '칼국수', '그릇', '식당', '제대로', '멸치', '육수', '칼국수', '즐기다', '칭찬', '점심시간', '손님', '많다', '합석', '덥다', '영등포', '시장', '찾기', '힘들다', '차다', '선불', '현금']",4,한식
8182,35139,광부맥주,영등포1갱도,85615,"['영등포', '골목', '위치', '저렴하다', '안주', '시원하다', '생맥주', '올라가다', '슬러시', '거품', '평일', '저녁', '방문', '북적', '대가', '착하다', '안주', '맛있다', '직원', '착하다', '방문']",5,술
8331,35849,광화문 수제비,을지로점,692299,"['아침', '지나다', '아침', '수제비', '점심', '수제비', '되어다', '\n\n', '김밥', '고만', '고만', '\n\n', '수제비', '두텁다', '밀다', '식감', '\n\n', '얇다', '부드럽다', '수제비', '좋아하다', '\n\n', '취향', '수제비', '소개', '올리다', '\n\n', '이집']",2,한식
8352,35859,광화문국밥,판교점,363254,"['평양', '냉면', '국밥', '맛있다']",5,한식
8458,36020,교대이층집,여의도점,385094,"['음식', '삼겹', '각종', '양념', '조화', '일품', '\n             ', '대패', '삼겹살', '차별', '고급', '\n             ', '된장찌개', '시골', '된장찌개', '\n             ', '밥그릇', '사발', '퍼주', '\n             ', '시므', '온기', '방금', '지은', '서비스', '친절하다', '친근하다', '좌석', '배치', '식당', '다르다', '가운데', '\n                     ', '주문', '서비스', '테두리', '\n                     ', '좌석', '배치', '되어다', '시끄럽다', '\n                     ', '넓다', '보임', '화장실', '가게', '위치', '주차', '가능', '2시간', '무료', '보관', '의자', '비닐봉지', '담다', '관할', '예약', '가능하다', '저녁', '타임', '예약', '필수', '점심식사', '가능', '직영', '가게', '주방', '위생', '위생', '마스크', '착용', '확인', '필요']",5,고기
8498,36035,교대이층집,강남역점,45315,"['맛집', '바글바글', '정신', '고기', '진짜진짜', '맛있다', '비싸다', '돈값', '고기', '굽다']",5,고기
8499,36036,교대이층집,양재점,94677,"['대감', '비슷하다', '돼지고기', '란점', '다르다', '직원', '분들', '친절하다', '맛있다']",4,고기
8500,36037,교대이층집,신사점,514754,"['인테리어', '소품', '레트로', '돈까스', '처음', '서비스', '제육', '된장찌개', '잇다', '점심', '가성']",4,고기
8501,36037,교대이층집,신사점,193185,"['고풍', '인테리어', '돈가스', '서비스', '음식', '전체', '제육', '조리', '시간', '아쉬움']",4,고기
8502,36037,교대이층집,신사점,355775,"['돈까스', '무료', '소프트', '아이스크림', '무료', '점심', '먹기', '가성', '굿이긔', '상추', '깻잎', '적다', '빼다']",4,고기
8503,36037,교대이층집,신사점,51654,"['고기', '굽다', '맛있다', '고기', '굽다', '탈수', '알맞다', '익히다', '\n\n', '고기', '쎄다', '\n\n', '친절', '만족', '나물', '\n \n', '신사역', '역시']",3,고기
8504,36037,교대이층집,신사점,29491,"['식사', '돈까스', '제육', '된장', '찌게', '맛있다', '다만', '제육', '익히다', '자리', '익히다', '오래', '편이', '시간', '넉넉하다', '잡고', '가세']",4,고기
8505,36038,교대이층집,망포점,290833,"['차돌박이', '맛있다', '칼국수', '볶다', '된장찌개', '비비다']",3,고기
8533,36135,교동반점,본점,65081,"['양은', '많다', '짜다', '홍합', '넘다']",3,중식
8534,36135,교동반점,본점,8647,"['려고', '평일', '열한시', '바로', '와우', '짬뽕', '크다', '매콤', '고기', '해물', '함께', '묵직하다', '어울리다', '인생', '짬뽕']",4,중식
8535,36135,교동반점,본점,364545,"['국물', '진하다', '타다', '맛있다', '대기']",4,중식
8536,36135,교동반점,본점,284695,"['음식', '맛있다', '메뉴판', '메뉴', '주문', '불가하다', '주차', '불가하다', '웨이팅']",3,중식
8537,36135,교동반점,본점,192836,"['음식', '훌륭하다', '이지나', '변하다', '없이', '깔끔하다', '진하다', '대부분', '중국집', '기름', '둥둥', '뜨다', '진하다', '확실하다', '인정', '서비스', '덥다', '좋아지다', '짬뽕', '안팔', '메뉴', '신건', '면시', '공기밥', '추가', '먹기', '싫다', '억지로', '메뉴', '초심', '돌아가다', '정신', '차리다', '만두', '오픈', '자마자', '가면', '가요', '틀다', '인정', '서비스', '쓰시']",4,중식
8538,36135,교동반점,본점,90296,"['짬뽕', '호로록', '서울', '오니', '자꾸만', '생각나다']",4,중식
8539,36135,교동반점,본점,553649,"['원조', '원조', '불규칙하다']",3,중식
8540,36135,교동반점,본점,867509,"['1시간', '기다리다', '시간', '아깝다', '유명하다', '한번', '맛보다', '라면', '강릉', '건더기', '교동', '짬뽕']",3,중식
8542,36135,교동반점,본점,664329,"['짬뽕', '별반', '다르다', '주차', '불편하다', '연예인', '방문', '하나', '멀리', '강릉', '놀다', '오신', '분들', '추천', '권하다']",3,중식
8543,36135,교동반점,본점,284794,"['열한시', '메뉴', '간단하다', '짬뽕', '짬뽕', '만두', '요렇게', '가게', '오래되다', '허름하', '깔끔하다', '매콤', '불맛', '맵다']",4,중식
8544,36135,교동반점,본점,87724,"['아주', '쫄깃', '맛있다', '국물', '시원하다', '깔끔하다', '불맛', '아주']",5,중식
8545,36135,교동반점,본점,616606,"['여타', '흔하다', '중국집', '짬뽕', '확실하다', '많다', '일단', '국물', '진하다', '걸쭉하다', '또한', '건더기', '야채', '많다', '개인', '취향', '적합하다', '조개', '홍합', '따로', '발라', '잔뜩', '나오니', '계속', '건지다', '후추', '심하다', '편이', '기다', '맛있다', '된거', '메뉴', '짬뽕', '짬뽕', '만두']",4,중식
8546,36135,교동반점,본점,2101,"['위생', '환경', '깨끗하다', '실망하다']",3,중식
8547,36135,교동반점,본점,702397,"['평일', '서서', '인기', '해산물', '껍데기', '없이', '먹기', '차다', '만두', '재료', '보지', '짬뽕', '매콤', '맛있다']",5,중식
8548,36135,교동반점,본점,19437,"['원래', '짬뽕', '짜장면', '주로', '이번', '짬뽕', '거부', '없이', '맛있다', '방문', '의사', '언제']",5,중식
8560,36211,교동전선생,삼성점,385468,"['막걸리', '수십', '가지', '매번', '갈다', '다르다', '맛있다']",5,술
8593,36285,교동짬뽕,인천본점,133493,"['맛있다', '짬뽕', '이용', '언제나', '맛있다', '양도', '많다']",4,중식
8606,36324,교동짬뽕,강릉본점,724982,"['짬뽕', '한참', '불맛', '짜다', '말아먹다', '맛남']",4,중식
8607,36324,교동짬뽕,강릉본점,89719,"['강원도', '갈다', '마다', '일부러', '찾다', '교동', '겨울', '맛있다', '이유']",5,중식
8608,36324,교동짬뽕,강릉본점,308086,"['맵다', '입맛', '평범하다', '만두', '굉장하다', '굽다']",3,중식
8609,36324,교동짬뽕,강릉본점,840293,"['많다', '합석', '재미', '낯설다', '손님', '많다', '어쩔', '감당', '짬뽕', '맛있다', '완뽕', '맛있다']",5,중식
8610,36324,교동짬뽕,강릉본점,212769,"['강릉', '가면', '무조건', '교동', '짬뽕', '겨울', '겨울', '짬뽕', '더맛', '해산물', '많다']",5,중식
8628,36367,교동짬뽕,롯데백화점 대전점,607732,"['최악', '짬뽕', '기만', '짜장', '무슨', '수준', '근데', '비싸다', '이유', '비추다', '게다가', '모든', '셀프', '셀프', '라면', '경쟁력', '갖추다', '아무리', '백화점', '입점', '너무하다', '실망']",1,중식
8629,36368,교동짬뽕,가천대점,33094,"['적당하다', '나쁘다', '손님', '많다', '깍두기', '맛있다']",3,중식
8630,36368,교동짬뽕,가천대점,764772,"['짬뽕', '불맛', '제대로', '음식', '전체', '메뉴판', '세트', '맛있다']",4,중식
8644,36441,교리김밥,본점,319105,"['호불호', '갈릴', '아예', '색다르다', '김밥', '기존', '김밥', '담백하다', '고소하다', '달다', '부드럽다']",5,분식
8645,36441,교리김밥,본점,150132,"['경주', '유명', '김밥', '들르다', '줄이다', '어마어마하다', '근데', '주인', '성격', '급하다', '빨리', '빠지다', '근데', '손님', '느리다', '서로', '티키타카', '안되다', '답답하다', '내면', '빡치다', '얼굴', '드러나다', '눈치', '보임', '그릭', '김밥', '쎄다', '4000원', '계란', '지단', '신한', '식감', '맛있다', '번은']",3,분식
8646,36441,교리김밥,본점,288487,"['카드', '결제', '결제', '30분', '기다리다', '받다', '김밥', '그만큼', '기다리다', '야하다', '카드', '결제', '방해', '최악', '김밥', '소금', '덩어리']",1,분식
8647,36441,교리김밥,본점,333771,"['괜찬은듯', '김밥', '기본', '줄이다', '저렴하다', '편도', '강매', '당하다', '앤드', '절대', '정문', '주차', '기본', '30분', '5천원', '이라네요', '공영', '주차장', '무료', '주차장', '많다', '주차', '1분', '해도', '5천원', '김밥', '기본', '맛집', '겸손하다', '필요', '보이다', '듭니']",3,분식
8648,36441,교리김밥,본점,156952,"['계란', '김밥', '널리', '알려지다', '교리', '김밥', '교리', '김밥', '계란', '지단', '이상', '입안', '사르르', '녹다', '약간', '짭쪼름한편', '계란', '지단', '굉장하다', '부드럽다', '편이', '감칠맛', '경주', '교리', '김밥']",2,분식
8649,36441,교리김밥,본점,243883,"['고소하다', '느끼하다', '수도']",3,분식
8650,36441,교리김밥,본점,485567,"['소문나다', '김밥']",4,분식
8651,36441,교리김밥,본점,325255,"['사장', '분위기', '아저씨', '주문', '받다', '별로', '붐비다', '재촉', '현금', '카드', '서다', '말씀', '주시', '행동', '말투', '급하다', '느리다', '카드', '따로', '세우다', '말초', '스피드', '현금', '결제', '김밥', '맛있다', '사장', '무인', '깊다', '김밥', '설명', '늦다', '김밥', '슴슴', '오이', '함께', '어우르다', '쑤다', '한정', '되어다']",4,분식
8652,36441,교리김밥,본점,51393,"['유명하다', '교리', '김밥', '드디어', '평일', '점심', '없이', '지단', '멸치', '김밥', '사면', '국수', '식사', '가능']",3,분식
8653,36441,교리김밥,본점,224927,"['3월', '주말', '오전', '방문', '해보다', '결과', '15분', '가량', '기다리다', '김밥', '받다', '바쁘다', '아주', '친절하다', '나름', '체계', '시스템', '현금', '산시', '빨리', '받다', '상황', '덥다', '신용카드', '긁다', '시간', '줄이다', '기다', '한정', '인원', '맞추다', '김밥', '싸다', '기대하다', '꼬들', '계란', '양보', '많다', '다소', '아쉽다', '특색', '그래도', '한번']",3,분식
8654,36441,교리김밥,본점,366741,"['워낙', '혹평', '심하다', '감안', '계란', '빼다', '특별하다', '유명하다', '한번', '그것', '이렇게', '줄설', '출출하다', '컵라면', '든든하다', '라면', '국물', '달걀', '퍽퍽함', '잡다']",3,분식
8655,36441,교리김밥,본점,248553,"['지단', '많다', '기대하다', '방송', '빨다']",2,분식
8657,36441,교리김밥,본점,748902,"['경주', '목어', '야하다', '김밥', '달걀', '지단', '폭신', '따라오다', '단무지', '우엉', '당근', '짜쪼름해', '계속', '김밥', '주차장', '따로', '주변', '하서', '가게', '작다', '포장', '손님', '많다']",5,분식
8658,36441,교리김밥,본점,621199,"['줄이다', '있는둣', '메뉴', '국수', '김밥', '가지', '중독', '적임', '다만', '바쁘다', '친절', '크다']",3,분식
8659,36441,교리김밥,본점,495457,"['김밥', '좀더', '신경', '쓸다', '야하다', '터지다', '아무리', '계란', '푸다', '다리', '빼다', '터지다']",3,분식
8660,36441,교리김밥,본점,744060,"['계란', '고소하다', '김밥', '서서', '기다리다', '야하다', '단점', '시간']",4,분식
8661,36441,교리김밥,본점,184987,"['김밥', '맛있다', '김밥', '이지', '크다', '대감', '없이', '맞이', '김밥', '2시간', '기다리다', '지진', '이후', '런가', '10', '여분', '김밥', '만남', '교리', '김밥', '기다리다', '김밥']",5,분식
8662,36441,교리김밥,본점,902218,"['어휴', '서서', '병신']",2,분식
8664,36441,교리김밥,본점,195653,"['기대하다', '맛있다', '특색', '집다', '든든하다', '주문', '가능하다', '국수', '고기', '청양', '고추', '조합']",3,분식
8665,36441,교리김밥,본점,110467,"['카드', '내면', '계산', '맛있다', '기분']",2,분식
8666,36441,교리김밥,본점,91788,"['독특하다', '굳이', '비싸다', '미리', '만들다', '두다', '김밥', '바로', '전달', '필요', '집다']",3,분식
8668,36441,교리김밥,본점,775400,"['11', '다녀오다', '줄이다', '짧다', '편이', '10분', '기다려서', '차례', '김밥', '무조건', '이상', '카드', '계산', '빠지다', '현금', '챙기다', '사장', '덕분', '기분', '주변', '또한', '최대한', '객관', '위해', '돈독', '오르다', '표현', '자제', '표현', '다이닝', '코드', '경주', '맛집', '차지', '자격']",1,분식
8669,36441,교리김밥,본점,519779,"['개인', '김밥', '비싸다', '맛없다', '짜다', '한마디', '가성', '최악', '맛보다', '불친절하다']",1,분식
8670,36441,교리김밥,본점,737604,"['서서', '집다', '김밥', '김밥', '계란', '지단', '색다르다', '게다가', '무려', '6000원', '넘다', '짧다', '시도', '무슨', '30분', '기다리다', '실망', '뿐이다', '겁니다']",2,분식
8671,36441,교리김밥,본점,812007,"['재료', '대부분', '비리다', '계란말이', '한국', '대다', '김밥', '근처', '고봉', '김밥', '훨씬', '낫다']",2,분식
8674,36441,교리김밥,본점,157033,"['우선', '본점', '황성동', '지점', '다녀오다', '토박이', '30년', '이상', '지내다', '교리', '김밥', '본적', '후배', '한번', '가보다', '오후', '4시', '쯤에', '방문', '손님', '뿐이다', '우선', '종업원', '계시다', '카운터', '주방', '카운터', '신분', '인사', '테이블', '주문', '계속', '주문', '받다', '모습', '우선', '인상', '종업원', '분계', '다리', '불편하다', '아프다', '그런', '개인', '통화', '나가시', '모습', '\n\n', '주문', '라면', '김밥', '주문', '\n\n', '라면', '3,000', '김밥', '6,400', '기본', '\n\n', '주방', '오픈', '조리', '모습', '보이다', '신라면', '봉지', '뜯다', '조리', '모습', '이렇다', '재료', '안보', '편이', '낳다', '신라면', '끓이다', '3천원', '이나', '받다', '라면', '계란', '\n\n', '김밥', '계란', '꽉차다', '김밥', '김밥', '재료', '계란', '오히려', '보통', '김밥', '느낌', '비리다', '푹신하다', '턱턱', '막히다', '계란', '지단', '\n\n', '어떻다', '쓰다', '이렇게', '안좋다', '후기', '작성', '되어다', '입맛', '이기', '때문', '그동안', '방송', '소개', '되어다', '수많다', '블로그', '맛집', '등록', '되어다', '서다', '분명', '때문', '맞다', '\n\n', '본점', '뭔가', '다르다', '솔직하다', '김밥', '라면', '12,400원', '값어치', '안듭니']",2,분식
8675,36441,교리김밥,본점,227728,[],1,분식
8676,36441,교리김밥,본점,546031,"['개인', '손님', '카드', '던지다', '약간', '유명하다', '별로', '비싸다', '불친절하다', '별로', '추천', '드리다']",1,분식
