,store,store_name,branch,user,content,score,big_cate
326,1218,24시 전주 명가 콩나물국밥,천안점,8731,"['24시', '언제', '식사', '콩나물', '해장국', '\n\n', '주로', '신방동', '편이', '\n\n', '아침', '술자리', '마지막', '든든하다', '가면', '훨씬', '\n\n  \n', '수능', '당일', '아침', '6시', '식사', '위해', '콩나물', '국밥집', '\n\n', '신부동', '양자강', '자리', '3,900원', '에서', '4,500원', '으로', '오르다', '가성', '해장국', '깍두기', '오징어', '젓갈', '푸다', '최고', '\n\n', '신부동', 'IC', '길목', '주로', '일찍', '여행', '떠나다', '기도', '\n\n', '마지막', '차로', '오징어', '마리', '해장국', '소주', '병과', '함께', '\n\n  \n', '개인', '본연', '국물', '보고', '이후', '날달걀', '맛있다', '\n\n', '업무', '때문', '새벽', '오징어', '숙회', '아쉽다', '\n\n', '\n\n', '줄평', '숙취', '해소', '콩나물', '국밥', '부담', '최고']",5,한식
327,1222,24시 전주명가콩나물국밥,상계점,293382,"['대비', '맛있다', '혼자', '가볍다', '먹기']",3,한식
333,1236,24시 한방 전주콩나물국밥,상동직영점,49693,"['상동', '위치', '콩나물', '국밥집', '저렴하다', '그릇', '저렴하다', '편이', '또한', '깔끔하다', '편이', '혼자', '많다', '연령', '대도', '다양', '한편', '굴국밥', '시원하다', '비리', '맛있다', '계란', '선택']",4,한식
370,1461,24시전주명가콩나물국밥,관저점,607732,"['콩나물', '국밥', '맛있다', '주식', '깔끔하다', '아주머니', '차다', '친절하다', '어른', '찾다', '듯해', '깃밥', '무료', '전체', '메뉴', '싸다', '가성', '무지무지', '메뉴', '보고', '배부르다']",5,한식
372,1463,24시전주명가콩나물국밥,행신점,326195,"['지역', '점심식사', '손님', '모두', '식당', '\n\n', '프렌', '이즈', '식당', '가맹', '500원', '저렴하다', '손님', '많다', '가장', '크다', '이유', '가맹', '서울', '인천', '군데', '개인', '비교', '맛있다', '이유', '모르다', '국물', '깊다', '진하다', '느끼다', '인기', '식당', '평일', '주말', '없이', '점심시간', '손님', '많다', '회전', '10분', '이상', '기다리다', '맛있다']",5,한식
373,1463,24시전주명가콩나물국밥,행신점,11203,"['콩나물', '국밥', '시원하다', '맛있다', '저렴하다', '무제한', '주민', '라면', '한번', '방문', '해보다']",5,한식
374,1464,24시전주명가콩나물국밥,산남점,283271,"['무난', '콩나물', '국밥', '셀프', '리필', '해먹', '크다', '4500원', '으로', '올라서다', '가성', '보통', '주차', '뒷길', '야하다']",3,한식
375,1465,24시전주명가콩나물국밥,관평점,291745,"['가성', '저렴하다', '잇다', '김치']",4,한식
376,1465,24시전주명가콩나물국밥,관평점,285715,"['모든', '직원', '분들', '친절하다', '김치', '콩나물', '국밥', '맛있다', '점심시간', '가면', '자리', '꽉차다', '일찍', '가야']",4,한식
408,1662,25카츠,안산점,886793,"['쇼핑', '덥다', '느껴지다', '시원하다', '모밀', '칼칼하다', '땡기다', '국물', '나베']",5,"돈가스,회,일식"
409,1662,25카츠,안산점,701898,"['다르다', '모르다', '크다', '돈카츠', '맛남', '가끔', '나서다', '화보']",5,"돈가스,회,일식"
453,1913,30년할매닭발,노형점,319205,"['닭발', '크기', '작다', '그래도', '맛있다', '맵다', '보통', '하나', '매다']",5,술
469,1951,335 kitchen,광교아브뉴프랑점,157628,"['일반', '뷔페', '샤브샤브', '\n\n', '솔직하다', '뷔페', '노멀', '샤브샤브', '비슷', '비슷하다', '딱하다', '평가', '뷔페', '음식', '종류', '수준', '기대', '미치다', '종류', '많다', '결국', '중요하다', '평범하다', '판교', '맛집', '이야기', '개인', '찾다', '퀄리티', '손님', '꾸준하다', '많다', '신분당선', '상현', '근처', '샤브샤브', '뷔페', '퀄리티', '높다', '나중', '방문', '평가', '올리다']",3,한식
471,1951,335 kitchen,광교아브뉴프랑점,751223,"['가성', '인기', '많다', '대기']",4,한식
473,1951,335 kitchen,광교아브뉴프랑점,719997,['가성'],5,한식
476,1971,33떡볶이,배곧점,395114,"['쫄면', '땡기다', '평범하다', '쫄면', '참치', '꼬마', '김밥', '찰떡', '비싸다', '요즘', '분식', '오르다', '가끔', '특별하다']",3,분식
498,2133,37.5,서래마을점,152083,"['평생', '가보다', '레스토랑', '아마도', '최악', '팬케익', '고무', '딱딱하다', '메뉴판', '다르다', '제멋대로', '대해', '이야기', '쫒다', '사진', '찍다', '하니', '직원', '찍다', '가로막', '외국', '친구', '창피하다', '어떻다', '이렇다', '카페', '아직', '닫다', '서다', '마을', '버티다', '한개', '아깝다']",1,카페
499,2133,37.5,서래마을점,798137,"['유명하다', '브런치', '까페', '메뉴', '인테리어', '벤치마킹', '열심히', '퀄리티', '처참하다', '실패', '브런치', '까페', '창업', '준비', '한번', '가보다', '반면', '교사', '삼다', '가게', '\n\n', '스크램블드에그', '오일', '선택', '미스', '건지다', '제대로', '세척', '산뜻하다', '비릿', '강하다', '모양', '\n\n', '프라이드', '베이컨', '튀기다', '경화시키다', '고기', '작대기', '재료', '품질', '별로', '미가', '딱딱하다', '\n\n', '커피', '아메리카노', '마시다', '20', '세기', '아직도', '이렇다', '커피', '내다', '자칭', '브런치', '까페', '놀랍다', '거의', '퀄리티', '관리', '커피', '인스턴트', '커피', '\n\n', '그릴', '소시지', '부분', '\n\n', '계산', '유사', '브런치', '대충', '나오니', '마음', '울적하다', '허기', '\n\n', '맞은편', '건물', '라멘', '일정', '진하다', '짭짤하다', '블렌딩', '스프', '꼬들', '맛있다', '돈코츠', '라멘', '파다', '라이트', '텍스처', '국물', '원하다', '버터', '라멘', '편입']",1,카페
500,2134,37.5,동탄점,317295,"['리코', '치즈', '듬뿍', '베리', '견과류', '발사믹', '소스', '유자', '소스', '곁들이다', '성하다', '리코', '치즈', '샐러드', '완전', '리코', '치즈', '만들다', '요리', '메뉴', '맛있다', '림프', '파스타', '제일', '맛있다', '커피', '1000원', '피다', '와인', '파다', '여자', '모임', '완전', '가지', '일반', '위치', '주차공간', '충분하다', '분위기', '친절하다', '멀다', '여건', '좀더']",5,카페
501,2134,37.5,동탄점,318832,"['맛있다', '인테리어', '예쁘다', '양도', '푸다', '짐해', '브런치', '핫케익', '프렌치토스트', '전형', '아메리칸', '브렉', '퍼스트', '식사', '추천', '드리다', '아메리칸', '브렉', '퍼스트', '핫케익', '별로', '그닥', '브런치', '가게', '차이', '느끼다', '새우', '버거', '토마토', '빠에야', '음식', '새우', '패티', '두껍다', '새우', '정성', '만들다', '느낌', '빠에야', '적당하다', '매콤', '조개', '쭈꾸미', '오징어', '해산물', '푸다', '주말', '점심', '가족', '연인', '느긋하다', '데이트']",5,카페
643,2505,5.5 닭갈비,본점,151946,"['프랜차이즈', '잘나가다', '5.5', '닭갈비', '본점']",4,한식
644,2505,5.5 닭갈비,본점,64397,"['주차장', '따로', '도로', '주차', '보이다', '본점', '손님', '많다', '직원', '분들', '많다', '챙기다', '보통']",4,한식
648,2511,5.5닭갈비,송촌점,116465,"['지금', '5.5', '이름', '바뀌다', '맛있다', '특히', '볶음밥', '나쁘다']",4,한식
692,2834,59쌀피자,순천대점,129269,"['식당', '깔끔하다', '사장', '친절하다']",4,"피자,파스타,스테이크"
711,3071,60계,천호역점,155029,"['화장실', '남녀', '따로', '되어다', '야외', '테라스', '테이블', '사장', '차다', '친절하다']",4,치킨
714,3153,60계 치킨,천안신불당점,307295,"['맛있다', '똥집', '튀김', '맛있다', '후라이드', '바삭', '맛있다']",5,치킨
722,3189,60계 치킨,발산등촌점,470723,"['평범하다', '체인', '다만', '불친절', '\n\n', '60', '치킨', '많다', '체인', '해당', '지점', '일반', '다만', '치즈볼', '그릇', '바꿧으', '치즈볼', '대접', '차다', '시기하다', '불친절', '여성', '서빙', '그릇', '툭툭', '놓다', '테이블', '조리', '주문', '물어보다', '차다', '\n\n', '다시다']",1,치킨
723,3191,60계 치킨,마곡점,470723,"['우선', '배달', '고요', '\n\n', '해당', '지점', '배달', '친절하다', '충분하다', '맛있다', '다만', '후라이드', '교촌']",4,치킨
724,3191,60계 치킨,마곡점,45315,"['주변', '60', '치킨', '몇개', '마곡점', '맛있다', '소문', '맛있다', '리뷰', '이벤트', '참여', '감자', '튀김', '받다']",5,치킨
725,3191,60계 치킨,마곡점,179544,"['고추', '치킨', '잇다', '60', '고추', '치킨', '맵다', '잇다']",3,치킨
726,3192,60계 치킨,진주혁신점,281748,"['간지', '치킨', '간장', '누룽지', '그럭저럭', '맛있다']",3,치킨
727,3193,60계 치킨,종로본점,391631,"['종각역', '종로', '본점', '방문', '건물', '많다', '복잡하다', '\n\n', '치킨', '바삭', '튀기다', '직원', '친절하다', '편입', '\n\n', '치킨', '간지', '치킨', '고추', '치킨', '맛있다']",4,치킨
733,3213,60계치킨,서울한양대점,129333,"['대다', '골목', '많다', '떡볶이', '옛날', '학교', '분식집', '치킨', '자극']",3,치킨
734,3214,60계치킨,세종어진점,148970,"['60', '치킨', '전반', '매장', '깔끔하다', '고추', '치킨', '매콤', '마요네즈', '찍다', '먹음', '장난없다', '감자', '짱짱']",5,치킨
735,3215,60계치킨,대전문화점,27703,"['초복', '근처', '가게', '되어다', '식사', '복날', '주문', '밀리다', '오래', '기다리다', '사장', '되게', '친절하다', '치킨', '바로', '튀기다', '맛있다', '유인', '살충', '가끔', '타닥', '거려', '깜짝', '놀라다', '테이블', '멀다']",4,치킨
739,3254,60계치킨,부산해운대점,156952,"['60', '치킨', '간지', '프렌', '이즈', '비슷하다', '근데', '해운대', '먹기', '이영자', '광고', '60', '치킨', '달달', '좋아하다']",5,치킨
802,3371,6구역,범계점,73803,"['돼지고기', '소고기', '무한리필', '고기', '특히', '소고기', '부드럽다', '맛있다', '고추장', '찌개', '포함', '찌개', '얼큰하다', '느끼하다', '잡다', '차돌박이', '찌개', '왕창', '맛있다', '셀프', '치즈', '수제비', '라면', '사리', '직원', '분들', '계속', '돌아다니다', '판도', '정리', '전체', '만족스럽다', '무한리필', '고기']",4,고기
817,3558,72420,노원점,158018,"['쌀국수', '가장', '맛있다', '인생', '쌀국수', '국물', '다르다', '진하다', '깊다']",5,아시안요리
830,3622,79네 수육국밥 & 보쌈,서울시청점,350771,"['무난', '맛있다', '국밥집', '건물', '국밥집', '경쟁', '저렴하다']",4,한식
905,3976,87닭강정,안동과학대점,127131,"['양념치킨', '사이즈', '인분', '추천']",4,치킨
